0
Jon Gray
Casey Mize
Marcus Semien
Corey Seager
Evan Carter
Wyatt Langford
Josh Smith
Ezequiel Duran
Jared Walsh
Andrew Knizner
Leody Taveras
Riley Greene
Spencer Torkelson
Zach McKinstry
Kerry Carpenter
Gio Urshela
Wenceel Perez
Javier Baez
Parker Meadows
Jake Rogers
Jordan Hicks
Ryan Weathers
Chris Paddack
Grayson Rodriguez
Austin Gomber
Ranger Suarez
Jose Soriano
Aaron Civale
Dylan Cease
Wade Miley
Tanner Bibee
Garrett Whitlock
Jared Jones
Jose Quintana
Brady Singer
John Cannon
Dominic Leone
Tanner Banks
Kyle Hendricks
Tommy Henry
Carlos Rodon
Yusei Kikuchi
Patrick Corbin
Landon Knack
Reynaldo Lopez
Hunter Brown
Lance Lynn
JP Sears
Hunter Greene
Logan Gilbert
